Custom Merani ALISEO,608,31,1965,Italy,
Custom Mangalore - India Yawl al Terzo WOOD,729,36,1998,Italy,
Dolphin 24 sloop,950,24,1967,United States,
O'Day 25 STD,1500,25,1982,United States,
Bee Arrow,1500,18,1985,United States,
Albin Viggen,1520,23,1971,Ireland,
Optimist Sailing Dinghy,1939,7 ,2017,Spain,
Ericson 30+,2000,30,1980,United States,
Mirage M 24,2000,24,1973,United States,
C&C Shark,2000,24,1975,United States,
Able Able Pointin,2000,24,1976,United States,
Stocznia Ustka Carina 20,2117,20,1979,Jersey,
O'Day O'day 28,2495,28,1984,United States,
Newport 30 Mk II,2500,30,1974,United States,
Pearson 26 One-Design,2500,26,1981,United States,
CAL Sloop,2500,25,1967,United States,
North American 23,2500,23,1977,United States,
Pandora Mk1,2611,22,1973,United Kingdom,
Pandora Mk1,2611,22,1973,United Kingdom,
Chrysler 22,2700,22,1977,United States,
Hunter 25,2850,25,1978,United States,
Colgate Colgate 26,2900,26,2004,United States,
Seafarer 26 Seafarer,2900,26,1977,United States,
Colgate Colgate 28,2900,26,1998,United States,
Cape Dory Typhoon 19',2900,19,1976,United States,
Melges MC Scow,2950,16,1979,United States,
Kelt 760,3000,27,1983,United States,
Seaward 17,3000,17,1991,United States,
Custom Optimist Blue2,3039,7 ,2016,Spain,
Squadron 15,3200,15,1981,United States,
Irwin 27,3250,27,1969,United States,
Catalina 22,3350,22,1974,United States,
Bristol 1969 Bristol 27,3395,27,1969,United States,
Sailstar corsair 24,3495,24,1971,United States,
Lancer Sloop,3500,28,1981,United States,
Catalina 27,3500,27,1978,United States,
Pearson Renegade,3500,27,1967,United States,
Custom Amphibicon Controversy,3500,25,1960,United States,
Cape Dory 25,3500,25,1974,United States,
Precision 185,3500,18,2005,United States,
Western Way 10' Sailing Dinghy,3500,10,2010,United States,
Custom MORSKOOL 380,3522,13,1997,France,
CAL 25 MK II,3900,25,1981,United States,
C&C,3900,24,1977,United States,
Catalina 22,3950,22,1979,United States,
C&C 25 Sailboat,3995,25,1974,United States,
Catalina 25,4000,25,1985,United States,
S2 8.0,4100,26,1977,United States,
Rhodes Bantam,4100,14,1965,United States,
Anderson 22,4234,22,1979,France,
Etchells Etchells 22,4250,31,1974,United States,
Pearson P26,4295,26,1976,United States,
Hunter 23,4495,23,1987,United States,
Pearson 26,4500,26,1972,United States,
O'Day OWNER HIGHLY MOTIVATED TO SELL....CALL TODAY!!!!,4500,26,1986,United States,
Seaward sloop,4550,23,1989,United States,
Hunter 23,4550,23,1986,United States,
Nacra 6.0,4600,20,1994,United States,
Sunfish / Laser Sunfish,4630,14,2019,United States,
Ericson 25+,4750,25,1981,United States,
Com-Pac 23,4750,23,1981,United States,
Hobie 20,4750,20,2000,United States,
O'Day O'day 28,4795,28,1982,United States,
Hobie Cat Miracle 20,4800,20,1994,United States,
Westerly GK24,4802,24,1979,Ireland,
Com-Pac 16,4850,16,1986,United States,
Jaguar 27,4869,27,1979,United Kingdom,
CAL 28,4900,28,1986,United States,
CAL 25II Mk II,4900,25,1981,United States,
Tanzer 25,4900,25,1987,United States,
Cutlass 27,4940,27,1980,United Kingdom,
Albin Express,4940,25,1983,United Kingdom,
Glen-L Custom Sloop,4950,17,2015,United States,
Olson 30,4995,30,1982,United States,
C&C 29,4995,29,1976,United States,
Rhodes Evergreen 36,5000,36,1948,United States,
Aage Nielsen Paul Luke Yawl,5000,33,1954,United States,
Dufour 31,5000,31,1982,United States,
Ericson,5000,27,1974,United States,
Ericson 27,5000,27,1977,United States,
Olson 25,5000,25,1988,United States,
Com-Pac Compac,5000,19,1985,United States,
Bristol 22,5200,22,1975,United States,
Dufour 1800,5292,25,1984,United Kingdom,
Romarine Cat Ketch,5350,30,1980,United States,
C&C 27,5400,27,1971,United States,
Nacra SL16,5450,16,2006,United States,
Catalina 25,5500,25,1977,United States,
J Boats J/24,5500,24,1984,United States,
Atlanta Marine Viking 8.5,5575,28,1980,United Kingdom,
Folkboat Folksong 26,5575,25,1985,United Kingdom,
B & B Yacht Designs Core Sound 17,5575,17,2013,United Kingdom,
Jaguar 25,5631,26,1979,United Kingdom,
One Design Newquay One Design,5638,24,1960,United Kingdom,
Westerly Cirrus,5638,22,1967,United Kingdom,
Snapdragon 747,5645,25,1984,United Kingdom,
Robertson Kestrel 22,5645,22,1963,United Kingdom,
Robertson Kestrel 22,5645,22,1963,United Kingdom,
Hunter Cherubini 27,5750,27,1979,United States,
Catalina 27,5900,27,1978,United States,
Catalina Sloop,5900,27,1975,United States,
Catalina Capri 25,5900,25,1985,United States,
Catalina 25,5900,25,1984,United States,
Hunter 25,5900,25,1982,United States,
Mirage Yachts Kirby 25,5900,25,1979,United States,
Spirit 23,5900,23,1978,United States,
Hunter 22,5950,22,1983,United States,
O'Day O'day 272,5990,27,1986,United States,
Coronado,5995,27,1971,United States,
Seamaster 23,5998,23,1976,United Kingdom,
Seamaster 23,5998,23,1976,United Kingdom,
S2 7.9,5999,26,1982,United States,
Wayfarer Islander 32,6000,32,1966,United States,
Gloucester 22,6000,22,1985,United States,
Herreshoff 18,6000,18,1972,United States,
Jeanneau FOLIE DOUCE,6078,30,1977,France,
Jeanneau FOLIE DOUCE,6078,30,1977,France,
Achilles 24,6139,24,1974,United Kingdom,
CAL 22,6200,22,1987,United States,
Hunter Duette,6351,23,1988,United Kingdom,
Hunter Duette,6347,23,1988,United Kingdom,
Cape Cod Bull's Eye,6450,15,1962,United States,
Bristol 27,6500,27,1971,United States,
Neptune 22,6683,21,1974,Spain,
Etap Etap 22 I,6685,22,1987,France,
Ruffian 23,6700,23,1977,United Kingdom,
Finesse 21,6763,21,1973,United Kingdom,
CAL 25,6850,25,1982,United States,
MacGregor 26 D,6900,26,1988,United States,
One Design Illusion Mini 12 Meter,6950,12,1983,United States,
Sabre 27 MkII,6982,27,1972,United Kingdom,
Folkboat 25,6982,26,1960,United Kingdom,
Jaguar 22,6982,22,1975,United Kingdom,
One Design OD,6982,22,1964,United Kingdom,
International 210,6995,30,1975,United States,
Pearson 26,6999,26,1974,United States,
Cape Dory Typhoon Weekender,6999,18,1971,United States,
Catalina 30,7000,30,1984,United States,
Antique Loch Long One Design,7040,21,1966,United Kingdom,
Westerly Pageant,7047,23,1971,United Kingdom,
Hunter Sonata,7052,23,1983,United Kingdom,
Westerly Tiger,7054,25,1976,Jersey,
Jaguar 25,7054,25,1979,United Kingdom,
Jaguar 25,7054,25,1980,United Kingdom,
Jaguar 25,7054,25,1979,United Kingdom,
Tanzer 24,7065,24,1979,United States,
Hullmaster 31 Sloop,7147,31,1978,Canada,
Catalina 27,7200,27,1984,United States,
Sailboat Hermann-20,7200,22,1962,United States,
Cape Dory Typhoon Weekender,7400,19,1970,United States,
Santana 30/30,7450,30,1983,United States,
Hunter Duette 23,7476,23,1988,United Kingdom,
Pearson Sloop,7495,28,1976,United States,
Seidelmann 245,7499,24,1982,United States,
O'Day O'day 28,7500,28,1985,United States,
Ericson Sloop,7500,27,1979,United States,
Pearson 26,7500,26,1979,United States,
Cape Dory 25,7500,25,1974,United States,
Naval Force 3 Class 2M,7500,24,2010,Brazil,
Catalina 22,7500,22,1989,United States,
Rhodes 19,7500,19,1974,United States,
Hobie Getaway,7600,16,2009,United States,
Invicta 26,7758,26,1964,United Kingdom,
Macwester Rowan Crown,7758,24,1981,Jersey,
C&C 27 MK III,7854,27,1979,Canada,
San Juan 33S,7900,33,1981,United States,
Irwin Competition,7900,30,1974,United States,
Pearson Flyer,7900,30,1981,United States,
Hunter 27,7900,27,1978,United States,
O'Day,7900,27,1978,United States,
J Boats 22,7900,22,1984,United States,
International i550,7900,18,2016,United States,
Custom EM 25 PERSONAL,7902,24,1998,Italy,
Jeanneau Sun Way 21,7902,21,1990,France,
J Boats J/30,7980,30,1979,United States,
Hunter 27,7995,27,1984,United States,
Catalina 30,8000,30,1981,United States,
MacGregor 26 S,8000,26,1993,United States,
Capri 25,8000,25,1981,United States,
Custom 8m One off racer,8115,27,2003,United Kingdom,
Newbridge Virgo Voyager,8110,23,1985,United Kingdom,
C&C 27 MK I,8200,27,1971,United States,
Leisure 27,8204,27,1979,Ireland,
Catalina 30,8250,30,1978,United States,
Concordia Beetle Cat,8250,12,1993,United States,
Bandholm 27,8393,27,1980,United Kingdom,
Westerly Centaur,8393,26,1972,United Kingdom,
Westerly Centaur,8393,26,1972,United Kingdom,
Westerly Pageant,8393,23,1975,United Kingdom,
Devon lugger,8393,19,2001,United Kingdom,
Van De Stadt Pioneer,8456,30,1968,United Kingdom,
Invicta 26,8456,26,1966,United Kingdom,
Jaguar 25,8456,26,1983,United Kingdom,
Folkboat 25,8456,25,1964,United Kingdom,
Macwester Rowan,8463,22,1970,Jersey,
Atlas Boat Works 35 Custom Sailboat,8500,35,1989,United States,
Ranger 33,8500,33,1976,United States,
Dufour 3800,8500,31,1983,United States,
Soverel Mark III,8500,30,1977,United States,
Santana 30/30,8500,30,1983,United States,
Tanzer 28,8500,28,1974,United States,
Newport 27,8500,27,1984,United States,
S2 8.0,8500,26,1977,United States,
Precision 23,8500,23,1986,United States,
Hunter Medina 20,8504,20,1980,Spain,
Custom Nautivela Oscar 70,8510,23,1985,Italy,
Pegasus 700,8510,23,1987,Spain,
Kalik SLOOP,8900,40,1981,United States,
Hunter Sloop,8900,31,1984,United States,
Ericson 29,8900,29,1979,United States,
Islander 28,8900,28,1976,United States,
Catalina 25,8900,25,1980,United States,
Hunter 216,8900,21,2008,United States,
Beneteau First 21,8950,21,1993,United States,
Edey & Duff Stonehorse 23,8995,23,1980,United States,
Catalina C27,8999,27,1982,United States,
Legnos Mystic 30,9000,30,1981,United States,
Catalina 30,9000,30,1982,United States,
MacGregor Macgregor 26m Sl,9000,26,1995,United States,
Custom Cantiere MOLTEDO  di Genova GOLETTA PEXINO 3,9118,40,1967,Italy,
Custom Bianchi e Cecchi BC4,9118,31,1974,Italy,
Kirie 27,9118,27,1980,France,
MacGregor 26 "X",9160,26,1996,United States,
Pacesetter 28,9166,28,1985,United Kingdom,
Trapper 300,9166,26,1976,United Kingdom,
Beneteau First 210 Spirit,9161,21,1994,United Kingdom,
Amel Alisio,9168,31,1966,France,
Trapper 300,9168,26,1986,United Kingdom,
Contessa 26,9168,26,1968,United Kingdom,
Holliwell Class Sailing Yacht,9168,26,1962,United Kingdom,
Sadler 25,9168,25,1980,United Kingdom,
Hunter 285,9450,29,1985,United States,
Tartan 34C,9500,34,1972,United States,
Catalina 30,9500,30,1982,United States,
J Boats J/30,9500,30,1983,United States,
Hunter 28.5,9500,29,1987,United States,
S2 8.5 Sailboat,9500,28,1982,United States,
Sabre Auxiliary Sloop,9500,28,1979,United States,
Catalina 27,9500,27,1988,United States,
O'Day LE272,9500,27,1987,United States,
S2 B,9500,26,1975,United States,
Custom Rhodes Daysailer,9500,26,1947,United States,
Seafarer 26 Seafarer,9500,26,1984,United States,
Derecktor S&S 25,9500,25,1952,United States,
J Boats J/24,9500,24,1988,United States,
Hillyard 8 Ton,9526,30,1965,United Kingdom,
Albin Vega,9526,27,1973,United Kingdom,
Reliance 12m,9526,39,1986,Canada,
Catalina 27,9595,27,1986,United States,
Westerly Griffon,9665,26,1980,Ireland,
Jeanneau Poker,9725,27,1973,France,
Jeanneau Aquila,9725,26,1981,France,
Colvic 26,9725,26,1982,Italy,
Centaure Zaadnoordijk Yachtbuilders BV,9725,20,1980,Italy,
Hunter 216,9750,22,2006,United States,
Pearson 41,9800,41,1964,United States,
C&C MK1,9800,35,1970,United States,
Dufour Sloop,9800,31,1983,United States,
Pearson 30,9800,30,1974,United States,
Shipman 28,9808,29,1974,United Kingdom,
Custom SJ27 Quarter Tonner,9808,27,1988,United Kingdom,
Hurley 22,9808,22,1983,United Kingdom,
Lancer 30,9850,30,1984,United States,
Sadler 25,9872,25,1985,United Kingdom,
Colvic 23,9879,24,1972,Jersey,
Morgan 34,9900,34,1970,United States,
Columbia 34 MK II,9900,34,1971,United States,
Lancer 30 Sloop,9900,30,1980,United States,
O'Day 30,9900,30,1983,United States,
Sabre 28,9900,28,1976,United States,
Lancer 28,9900,28,1979,United States,
Sabre 28 Sloop,9900,28,1973,United States,
C&C 27,9900,28,1982,United States,
Bristol 27.7,9900,27,1980,United States,
Whitehall Tyee Spirit,9900,14,2002,United States,
Weta Trimaran,9900,14,2014,United States,
S2 Aft Cockpit,9950,30,1980,United States,
O'Day O'day 28,9950,28,1984,United States,
Catalina 27 Tall Rig / Deep Draft,9990,27,1975,United States,
Irwin 30,9995,30,1977,United States,
CAL 30,9995,30,1964,United States,
O'Day 30,9999,30,1979,United States,
Dufour Souveraine D-29,9999,29,1977,United States,
Grimstadjolle GJ-Class Sloop,9999,18,2001,United States,
Etchells 22,10000,30,1983,United States,
J Boats J/29,10000,29,1982,United States,
Coronado 28,10000,28,1974,United States,
O'Day sailboat,10000,28,1982,United States,
Hunter 27,10000,27,1982,United States,
Paceship 26,10000,26,1979,United States,
Trimaran Custom 25,10000,25,1981,United States,
Concordia Sloop,10000,17,1984,United States,
Beetle Beetle Cat,10000,13,2003,United States,
Scarborough One Design,10232,26,1950,United Kingdom,
Dufour Arpege,10333,30,1967,France,
Beneteau First 27,10333,26,1981,France,
Comar COMET 701,10333,23,1976,Italy,
Alden Cutter 42,10359,42,1934,United States,
Magnum 21,10455,20,2006,Spain,
Pearson 30,10500,30,1974,United States,
Hunter 28.5,10500,29,1987,United States,
Hunter 272,10500,27,1989,United States,
Herreshoff America,10500,18,1974,United States,
Jaguar 25,10508,25,1982,United Kingdom,
Custom Santander 30,10572,30,1973,United Kingdom,
Trapper 500,10572,28,1973,United Kingdom,
Freedom 25,10572,25,1984,United Kingdom,
Classic Allanson D25,10579,31,1952,United Kingdom,
Dragon Dragon One Design,10579,30,1975,United Kingdom,
Custom Ketch,10579,30,1968,United Kingdom,
Mirage 28,10579,28,1979,United Kingdom,
Dufour 2800,10579,28,1980,United Kingdom,
Wauquiez Victorian 27,10579,28,1968,United Kingdom,
Colvic 26,10579,26,1988,United Kingdom,
Westerly Centaur,10579,26,1979,United Kingdom,
Colvic 26,10585,26,1988,United Kingdom,
S2 8.0,10750,26,1981,United States,
Jeanneau Fantasia 27,10880,27,1983,Ireland,
Catalina 30 TR,10900,30,1984,United States,
C&C 30,10900,30,1978,United States,
MacGregor 26x,10900,26,1999,United States,
Dufour 2800,10941,27,1979,France,
Comar Comet 7.70,10941,25,1976,Italy,
Herreshoff 12 1/2,10990,16,1924,United States,
Bristol 32,11000,32,1972,United States,
Allied Sea Wind,11000,30,1968,United States,
Pearson Flyer,11000,30,1981,United States,
C&C 30,11000,30,1981,United States,
Ericson Crealock,11000,26,1969,United States,
O'Day 30,11114,30,1979,United States,
Jeanneau Fantasia 27,11117,27,1984,United States,
Cutlass 27,11216,27,1970,United Kingdom,
Hurley 27,11216,27,1972,United Kingdom,
Westerly Centaur 26,11216,26,1971,United Kingdom,
Evolution 26,11216,26,1980,United Kingdom,
Evolution 26,11216,26,1980,United Kingdom,
Jeanneau Eolia,11216,25,1985,United Kingdom,
Traditional Souwester 18,11216,19,1988,United Kingdom,
Character Boats - Post Boat,11216,18,2007,United Kingdom,
KingFisher 30,11279,30,1972,United Kingdom,
Halcyon Clipper,11279,27,1973,United Kingdom,
Custom Bolero 25,11279,25,1984,United Kingdom,
Bruce Roberts Spray 28 (Motorsailer),11286,28,1989,United Kingdom,
Seamaster 815,11286,27,1976,United Kingdom,
Cape Cod Baby Knockabout,11400,18,1937,United States,
Hunter 28,11490,28,1990,United States,
J Boats 30,11499,30,1980,United States,
Columbia Yacht 36,11500,36,1968,United States,
C&C 3/4 Ton,11500,33,1974,United States,
Abbott 33,11500,33,1984,United States,
Columbia 9.6,11500,32,1977,United States,
S2 sail,11500,28,1986,United States,
Sabre 28,11500,28,1981,United States,
Beneteau First 14,11500,14,2020,United States,
CBS 888,11546,29,1978,Italy,
CBS 888,11546,29,1978,Italy,
Contessa 28,11637,28,1978,United Kingdom,
Classic 12ft NEW Smacks Boat,11637,12,2021,United Kingdom,
J Boats J27,11821,27,1985,Canada,
Swarbrick 24,11863,24,1977,Australia,
C&C 36,11900,36,1979,United States,
Catalina 30,11900,30,1982,United States,
Islander Bahama 30,11900,30,1981,United States,
C&C 29,11900,29,1977,United States,
CAL 29,11900,29,1976,United States,
Hunter 27,11900,27,1982,United States,
Catalina Sloop,11900,27,1985,United States,
Trump Margaret D,11900,25,1974,United States,
Herreshoff Eagle Sailboat,11900,22,1979,United States,
C&C 29,11908,29,1983,Canada,
Dufour 27,11908,27,1975,United States,
Bluenose B15,11908,23,1947,Canada,
Bluenose B49,11908,23,1955,Canada,
Jeanneau SUN WAY 27,11914,27,1992,France,
Ohlson 29,11925,29,1979,United Kingdom,
Gib'Sea 28,11989,28,1982,United Kingdom,
Hustler 30,11996,30,1981,United Kingdom,
Maxi 84,11996,28,1980,United Kingdom,
Sabre 27,11996,27,1978,United Kingdom,
Sabre 27,11996,27,1978,United Kingdom,
Sailing Cruiser 23,11996,23,1980,United Kingdom,
Ericson 32,12000,32,1973,United States,
Islander Mark II Sloop,12000,30,1976,United States,
Hunter,12000,30,1981,United States,
Catalina 30T,12000,30,1980,United States,
Pearson 30,12000,30,1985,United States,
Cape Dory CD28,12000,28,1975,United States,
Sun Yachts 27 Sloop,12000,27,1978,United States,
Catalina 27,12000,27,1978,United States,
S2 7.9,12000,26,1981,French Polynesia,
CAL 25,12000,25,1978,United States,
Marshall 15' Sandpipers,12000,16,1995,United States,
Comar Comar 8 meteor,12032,27,1976,France,
Finot First 21,12032,21,1992,Martinique,
Custom C. N. 71 Puccinelli (Italia) Impala 36,12154,35,1977,Italy,
Impala 36,12154,35,1977,Italy,
Aloa 28,12154,28,2012,Netherlands,
Custom Galeazzi Palinuro,12154,24,1973,Italy,
